Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
3,male,22,1,0,7.25,,S,no
1,female,38,1,0,71.2833,C85,C,yes
3,female,26,0,0,7.925,,S,yes
1,female,35,1,0,53.1,C123,S,yes
3,male,35,0,0,8.05,,S,no
3,male,,0,0,8.4583,,Q,no
1,male,54,0,0,51.8625,E46,S,no
3,male,2,3,1,21.075,,S,no
3,female,27,0,2,11.1333,,S,yes
2,female,14,1,0,30.0708,,C,yes
3,female,4,1,1,16.7,G6,S,yes
1,female,58,0,0,26.55,C103,S,yes
3,male,20,0,0,8.05,,S,no
3,male,39,1,5,31.275,,S,no
3,female,14,0,0,7.8542,,S,no
2,female,55,0,0,16,,S,yes
3,male,2,4,1,29.125,,Q,no
2,male,,0,0,13,,S,yes
3,female,31,1,0,18,,S,no
3,female,,0,0,7.225,,C,yes
2,male,35,0,0,26,,S,no
2,male,34,0,0,13,D56,S,yes
3,female,15,0,0,8.0292,,Q,yes
1,male,28,0,0,35.5,A6,S,yes
3,female,8,3,1,21.075,,S,no
3,female,38,1,5,31.3875,,S,yes
3,male,,0,0,7.225,,C,no
1,male,19,3,2,263,C23 C25 C27,S,no
3,female,,0,0,7.8792,,Q,yes
3,male,,0,0,7.8958,,S,no
1,male,40,0,0,27.7208,,C,no
1,female,,1,0,146.5208,B78,C,yes
3,female,,0,0,7.75,,Q,yes
2,male,66,0,0,10.5,,S,no
1,male,28,1,0,82.1708,,C,no
1,male,42,1,0,52,,S,no
3,male,,0,0,7.2292,,C,yes
3,male,21,0,0,8.05,,S,no
3,female,18,2,0,18,,S,no
3,female,14,1,0,11.2417,,C,yes
3,female,40,1,0,9.475,,S,no
2,female,27,1,0,21,,S,no
3,male,,0,0,7.8958,,C,no
2,female,3,1,2,41.5792,,C,yes
3,female,19,0,0,7.8792,,Q,yes
3,male,,0,0,8.05,,S,no
3,male,,1,0,15.5,,Q,no
3,female,,0,0,7.75,,Q,yes
3,male,,2,0,21.6792,,C,no
3,female,18,1,0,17.8,,S,no
3,male,7,4,1,39.6875,,S,no
3,male,21,0,0,7.8,,S,no
